order_id,order_number,log_line
38,ORD-20250708-VZA9,2025-07-08 09:31 Created By system | 2025-07-08 09:31 Status: Processing By system | 2025-07-08 09:31 Updated By system | 2025-07-08 09:31 Status changed to Pending By system | 2025-07-08 09:31 Final amount changed to 2330.00 By system | 2025-07-08 09:31 Updated By system | 2025-07-08 09:32 Updated By system | 2025-07-08 09:32 Status changed to Cancelled By system
40,ORD-20250708-Q8H5,2025-07-08 10:41 Created By system | 2025-07-08 10:41 Status: Processing By system | 2025-07-08 10:41 Updated By system | 2025-07-08 10:41 Status changed to Pending By system | 2025-07-08 10:41 Final amount changed to 2330.00 By system | 2025-07-08 10:41 Updated By system | 2025-07-08 10:42 Updated By system | 2025-07-08 10:42 Status changed to Cancelled By system
42,ORD-20250708-PFYY,2025-07-08 10:48 Created By system | 2025-07-08 10:48 Status: Processing By system | 2025-07-08 10:48 Updated By system | 2025-07-08 10:48 Status changed to Pending By system | 2025-07-08 10:48 Final amount changed to 2330.00 By system | 2025-07-08 10:48 Updated By system | 2025-07-08 10:49 Updated By system | 2025-07-08 10:49 Status changed to Confirmed By system
43,ORD-20250708-LN03,2025-07-08 11:30 Created By system | 2025-07-08 11:30 Status: Processing By system | 2025-07-08 11:30 Updated By system | 2025-07-08 11:30 Status changed to Pending By system | 2025-07-08 11:30 Final amount changed to 19000.00 By system | 2025-07-08 11:30 Updated By system | 2025-07-08 11:30 Updated By system | 2025-07-08 11:30 Status changed to Confirmed By system
44,ORD-20250708-S1XA,2025-07-08 12:49 Created By system | 2025-07-08 12:49 Status: Processing By system | 2025-07-08 12:49 Updated By system | 2025-07-08 12:49 Status changed to Pending By system | 2025-07-08 12:49 Final amount changed to 10000.00 By system | 2025-07-08 12:49 Updated By system | 2025-07-08 12:50 Updated By system | 2025-07-08 12:50 Status changed to Confirmed By system
45,ORD-20250709-7PGZ,2025-07-09 11:18 Created By system | 2025-07-09 11:18 Status: Processing By system
46,ORD-20250710-NRX8,2025-07-10 12:09 Created By system | 2025-07-10 12:09 Status: Processing By system | 2025-07-10 12:10 Updated By system | 2025-07-10 12:10 Status changed to Pending By system | 2025-07-10 12:10 Final amount changed to 60000.00 By system | 2025-07-10 12:10 Updated By system | 2025-07-10 12:10 Updated By system | 2025-07-10 12:10 Status changed to Confirmed By system
48,ORD-20250710-HGVZ,2025-07-10 12:34 Created By system | 2025-07-10 12:34 Status: Processing By system | 2025-07-10 12:34 Updated By system | 2025-07-10 12:34 Status changed to Pending By system | 2025-07-10 12:34 Final amount changed to 18640.00 By system | 2025-07-10 12:34 Updated By system | 2025-07-10 12:34 Updated By system | 2025-07-10 12:34 Status changed to Confirmed By system
49,ORD-20250710-51PX,2025-07-10 12:36 Created By system | 2025-07-10 12:36 Status: Processing By system | 2025-07-10 12:37 Updated By system | 2025-07-10 12:37 Status changed to Pending By system | 2025-07-10 12:37 Final amount changed to 10000.00 By system | 2025-07-10 12:37 Updated By system | 2025-07-10 12:37 Updated By system | 2025-07-10 12:37 Status changed to Cancelled By system
50,ORD-20250710-P6BT,2025-07-10 13:00 Created By system | 2025-07-10 13:00 Status: Processing By system | 2025-07-10 13:00 Updated By system | 2025-07-10 13:00 Status changed to Pending By system | 2025-07-10 13:00 Final amount changed to 90000.00 By system | 2025-07-10 13:00 Updated By system | 2025-07-10 13:01 Updated By system | 2025-07-10 13:01 Status changed to Confirmed By system
51,ORD-20250710-74UO,2025-07-10 14:03 Created By system | 2025-07-10 14:03 Status: Processing By system | 2025-07-10 14:03 Updated By system | 2025-07-10 14:03 Status changed to Pending By system | 2025-07-10 14:03 Final amount changed to 171000.00 By system | 2025-07-10 14:03 Updated By system | 2025-07-10 14:03 Updated By system | 2025-07-10 14:03 Status changed to Confirmed By system
