order_id,order_number,log_line
101,ORD-20250718-N9QT,2025-07-18 16:41 Created By system | 2025-07-18 16:41 Status: Processing By system | 2025-07-18 16:43 Updated By system | 2025-07-18 16:43 Status changed to Cancelled By system
102,ORD-20250718-TC3D,2025-07-18 16:52 Created By امیرفرشاد دربندی | 2025-07-18 16:52 Status: Processing By امیرفرشاد دربندی | 2025-07-18 16:56 Updated By system | 2025-07-18 16:56 Status changed to Cancelled By system
103,ORD-20250718-YSFG,2025-07-18 16:57 Created By امیرفرشاد دربندی | 2025-07-18 16:57 Status: Processing By امیرفرشاد دربندی | 2025-07-18 16:57 Updated By امیرفرشاد دربندی | 2025-07-18 16:57 Status changed to Pending By امیرفرشاد دربندی | 2025-07-18 16:57 Final amount changed to 11650.00 By امیرفرشاد دربندی | 2025-07-18 16:57 Updated By امیرفرشاد دربندی | 2025-07-18 16:57 Updated By امیرفرشاد دربندی | 2025-07-18 16:57 Status changed to Confirmed By امیرفرشاد دربندی
104,ORD-20250718-LXWS,2025-07-18 16:57 Created By امیرفرشاد دربندی | 2025-07-18 16:57 Status: Processing By امیرفرشاد دربندی | 2025-07-18 16:59 Updated By system | 2025-07-18 16:59 Status changed to Cancelled By system
105,ORD-20250718-K4PA,2025-07-18 17:00 Created By امیرفرشاد دربندی | 2025-07-18 17:00 Status: Processing By امیرفرشاد دربندی | 2025-07-18 17:01 Updated By system | 2025-07-18 17:01 Status changed to Cancelled By system
106,ORD-20250719-0P50,000 | 000 | 000 | 000 | 000 | 000 | 000 Toman By امیرفرشاد دربندی | 000 Toman By امیرفرشاد دربندی | 2025-07-19 08:01:16 Order Created By امیرفرشاد دربندی | 2025-07-19 08:01:16 Order Number: ORD-20250719-0P50 By امیرفرشاد دربندی | 2025-07-19 08:01:16 Customer: امیرح دربندی By امیرفرشاد دربندی | 2025-07-19 08:01:16 Status: 🔄 در حال پردازش By امیرفرشاد دربندی | 2025-07-19 08:01:16 Payment Method: 💵 نقدی By امیرفرشاد دربندی | 2025-07-19 08:01:16 Total Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 08:01:16 Final Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 08:01:23 Order Updated By امیرفرشاد دربندی | 2025-07-19 08:01:23 Status changed from 🔄 در حال پردازش to ⏳ در انتظار تایید By امیرفرشاد دربندی | 2025-07-19 08:01:23 Total amount changed from 0 to 4 | 2025-07-19 08:01:23 Final amount changed from 0 to 4 | 2025-07-19 08:01:23 Order Updated By امیرفرشاد دربندی | 2025-07-19 08:01:35 Order Updated By امیرفرشاد دربندی | 2025-07-19 08:01:35 Status changed from ⏳ در انتظار تایید to ✅ تایید شده By امیرفرشاد دربندی
107,ORD-20250719-FR30,2025-07-19 08:14:57 Order Created By سهیل چگینی | 2025-07-19 08:14:57 Order Number: ORD-20250719-FR30 By سهیل چگینی | 2025-07-19 08:14:57 Customer: سهیل چگینی By سهیل چگینی | 2025-07-19 08:14:57 Status: 🔄 در حال پردازش By سهیل چگینی | 2025-07-19 08:14:57 Payment Method: 💵 نقدی By سهیل چگینی | 2025-07-19 08:14:57 Total Amount: 0 Toman By سهیل چگینی | 2025-07-19 08:14:57 Final Amount: 0 Toman By سهیل چگینی | 2025-07-19 09:39:34 Order Updated By system | 2025-07-19 09:39:34 Status changed from 🔄 در حال پردازش to ❌ لغو شده By system
108,,000 Toman By سهیل چگینی | 000 Toman By سهیل چگینی | 2025-07-19 08:15:05 Order Created By سهیل چگینی | 2025-07-19 08:15:05 Order Number:  By سهیل چگینی | 2025-07-19 08:15:05 Customer: سهیل چگینی By سهیل چگینی | 2025-07-19 08:15:05 Status: ⏳ در انتظار تایید By سهیل چگینی | 2025-07-19 08:15:05 Payment Method: 📅 قسطی By سهیل چگینی | 2025-07-19 08:15:05 Total Amount: 19 | 2025-07-19 08:15:05 Final Amount: 0 Toman By سهیل چگینی | 2025-07-19 08:15:05 Order Updated By سهیل چگینی | 2025-07-19 08:15:05 Final amount changed from 0 to 19 | 2025-07-19 08:15:05 Order Updated By سهیل چگینی
109,ORD-20250719-VK35,2025-07-19 12:49:09 Order Created By امیرفرشاد دربندی | 2025-07-19 12:49:09 Order Number: ORD-20250719-VK35 By امیرفرشاد دربندی | 2025-07-19 12:49:09 Customer: امیرح دربندی By امیرفرشاد دربندی | 2025-07-19 12:49:09 Status: 🔄 در حال پردازش By امیرفرشاد دربندی | 2025-07-19 12:49:09 Payment Method: 💵 نقدی By امیرفرشاد دربندی | 2025-07-19 12:49:09 Total Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 12:49:09 Final Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 12:49:13 Order Updated By امیرفرشاد دربندی | 2025-07-19 12:49:13 Status changed from 🔄 در حال پردازش to ❌ لغو شده By امیرفرشاد دربندی
110,ORD-20250719-VXEB,2025-07-19 12:49:59 Order Created By امیرفرشاد دربندی | 2025-07-19 12:49:59 Order Number: ORD-20250719-VXEB By امیرفرشاد دربندی | 2025-07-19 12:49:59 Customer: امیرح دربندی By امیرفرشاد دربندی | 2025-07-19 12:49:59 Status: 🔄 در حال پردازش By امیرفرشاد دربندی | 2025-07-19 12:49:59 Payment Method: 💵 نقدی By امیرفرشاد دربندی | 2025-07-19 12:49:59 Total Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 12:49:59 Final Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 12:50:01 Order Updated By امیرفرشاد دربندی | 2025-07-19 12:50:01 Status changed from 🔄 در حال پردازش to ⏳ در انتظار تایید By امیرفرشاد دربندی | 2025-07-19 12:50:01 Order Updated By امیرفرشاد دربندی
111,ORD-20250719-HUR7,000 Toman By امیرفرشاد دربندی | 000 Toman By امیرفرشاد دربندی | 2025-07-19 12:57:35 Order Created By امیرفرشاد دربندی | 2025-07-19 12:57:35 Order Number: ORD-20250719-HUR7 By امیرفرشاد دربندی | 2025-07-19 12:57:35 Customer: امیرح دربندی By امیرفرشاد دربندی | 2025-07-19 12:57:35 Status: 🔄 در حال پردازش By امیرفرشاد دربندی | 2025-07-19 12:57:35 Payment Method: 💵 نقدی By امیرفرشاد دربندی | 2025-07-19 12:57:35 Total Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 12:57:35 Final Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 12:57:40 Order Updated By امیرفرشاد دربندی | 2025-07-19 12:57:40 Status changed from 🔄 در حال پردازش to ⏳ در انتظار تایید By امیرفرشاد دربندی | 2025-07-19 12:57:40 Total amount changed from 0 to 1 | 2025-07-19 12:57:40 Final amount changed from 0 to 1 | 2025-07-19 12:57:40 Order Updated By امیرفرشاد دربندی | 2025-07-19 12:59:07 Order Updated By امیرفرشاد دربندی | 2025-07-19 12:59:07 Status changed from ⏳ در انتظار تایید to ✅ تایید شده By امیرفرشاد دربندی | 500 | 500
112,ORD-20250719-LX2M,000 Toman By امیرفرشاد دربندی | 000 Toman By امیرفرشاد دربندی | 2025-07-19 13:20:02 Order Created By امیرفرشاد دربندی | 2025-07-19 13:20:02 Order Number: ORD-20250719-LX2M By امیرفرشاد دربندی | 2025-07-19 13:20:02 Customer: امیرح دربندی By امیرفرشاد دربندی | 2025-07-19 13:20:02 Status: 🔄 در حال پردازش By امیرفرشاد دربندی | 2025-07-19 13:20:02 Payment Method: 💵 نقدی By امیرفرشاد دربندی | 2025-07-19 13:20:02 Total Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 13:20:02 Final Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 13:20:06 Order Updated By امیرفرشاد دربندی | 2025-07-19 13:20:06 Status changed from 🔄 در حال پردازش to ⏳ در انتظار تایید By امیرفرشاد دربندی | 2025-07-19 13:20:06 Total amount changed from 0 to 16 | 2025-07-19 13:20:06 Final amount changed from 0 to 16 | 2025-07-19 13:20:06 Order Updated By امیرفرشاد دربندی | 2025-07-19 13:20:13 Order Updated By امیرفرشاد دربندی | 2025-07-19 13:20:13 Status changed from ⏳ در انتظار تایید to ✅ تایید شده By امیرفرشاد دربندی
113,ORD-20250719-5IC8,2025-07-19 13:23:30 Order Created By امیرفرشاد دربندی | 2025-07-19 13:23:30 Order Number: ORD-20250719-5IC8 By امیرفرشاد دربندی | 2025-07-19 13:23:30 Customer: امیرح دربندی By امیرفرشاد دربندی | 2025-07-19 13:23:30 Status: 🔄 در حال پردازش By امیرفرشاد دربندی | 2025-07-19 13:23:30 Payment Method: 💵 نقدی By امیرفرشاد دربندی | 2025-07-19 13:23:30 Total Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 13:23:30 Final Amount: 0 Toman By امیرفرشاد دربندی | 2025-07-19 13:23:31 Order Updated By امیرفرشاد دربندی | 2025-07-19 13:23:31 Status changed from 🔄 در حال پردازش to ⏳ در انتظار تایید By امیرفرشاد دربندی | 2025-07-19 13:23:31 Total amount changed from 0 to 2 | 2025-07-19 13:23:31 Final amount changed from 0 to 2 | 2025-07-19 13:23:31 Order Updated By امیرفرشاد دربندی | 2025-07-19 13:23:46 Order Updated By امیرفرشاد دربندی | 2025-07-19 13:23:46 Status changed from ⏳ در انتظار تایید to ✅ تایید شده By امیرفرشاد دربندی | 300 Toman By امیرفرشاد دربندی | 300 Toman By امیرفرشاد دربندی
